model,batch_size,total_peak_memory_allocated_MB_mean,total_peak_memory_allocated_MB_std,avg_tokens_per_second_mean,avg_tokens_per_second_std
mistral,liger,64,36866.466,0.23702320561445708,13473.004,421.44406482948546
mistral,liger,128,50471.372,0.026832815728956228,14318.87,316.8447044689249
mistral,liger,192,64076.36,0.0,14400.042,86.19178307704242
mistral,huggingface,64,42876.68,0.4024922359506129,11195.926,278.86302422515655
mistral,huggingface,128,64101.93,0.0,11300.7325,232.57143266460494
phi3,liger,64,27675.61,0.1280624847474752,19113.882,477.471658551584
