{'loss': 1.4053, 'grad_norm': 12.579731941223145, 'learning_rate': 3e-06, 'epoch': 0.01, 'num_input_tokens_seen': 94208}
{'loss': 1.4443, 'grad_norm': 12.865562438964844, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 192512, 'step': 2, 'step_time_sec': 4.71, 'avg_step_time_sec': 4.71, 'time_to_completion_sec': 84.79, 'estimated_total_time_sec': 94.21, 'step_peak_memory_allocated_MB': 21179.34, 'step_peak_memory_reserved_MB': 30578.0, 'total_peak_memory_allocated_MB': 21179.34, 'total_peak_memory_reserved_MB': 30578.0, 'step_tokens_per_second': 20868.85, 'avg_tokens_per_second': 20868.85}
{'loss': 1.4356, 'grad_norm': 12.169632911682129, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.02, 'num_input_tokens_seen': 288768, 'step': 3, 'step_time_sec': 4.37, 'avg_step_time_sec': 4.54, 'time_to_completion_sec': 77.17, 'estimated_total_time_sec': 90.79, 'step_peak_memory_allocated_MB': 20071.81, 'step_peak_memory_reserved_MB': 30954.0, 'total_peak_memory_allocated_MB': 21179.34, 'total_peak_memory_reserved_MB': 30954.0, 'step_tokens_per_second': 22036.78, 'avg_tokens_per_second': 21430.78}
{'loss': 1.2951, 'grad_norm': 7.930613994598389, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 371712, 'step': 4, 'step_time_sec': 4.14, 'avg_step_time_sec': 4.41, 'time_to_completion_sec': 70.49, 'estimated_total_time_sec': 88.11, 'step_peak_memory_allocated_MB': 20617.12, 'step_peak_memory_reserved_MB': 30954.0, 'total_peak_memory_allocated_MB': 21179.34, 'total_peak_memory_reserved_MB': 30954.0, 'step_tokens_per_second': 20044.2, 'avg_tokens_per_second': 20996.65}
{'loss': 1.283, 'grad_norm': 6.639282703399658, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.03, 'num_input_tokens_seen': 470016, 'step': 5, 'step_time_sec': 5.77, 'avg_step_time_sec': 4.75, 'time_to_completion_sec': 71.2, 'estimated_total_time_sec': 94.93, 'step_peak_memory_allocated_MB': 22349.44, 'step_peak_memory_reserved_MB': 30954.0, 'total_peak_memory_allocated_MB': 22349.44, 'total_peak_memory_reserved_MB': 30954.0, 'step_tokens_per_second': 17039.12, 'avg_tokens_per_second': 19794.06}
{'loss': 1.213, 'grad_norm': 4.9781317710876465, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.03, 'num_input_tokens_seen': 564224, 'step': 6, 'step_time_sec': 5.78, 'avg_step_time_sec': 4.95, 'time_to_completion_sec': 69.35, 'estimated_total_time_sec': 99.07, 'step_peak_memory_allocated_MB': 20071.81, 'step_peak_memory_reserved_MB': 30954.0, 'total_peak_memory_allocated_MB': 22349.44, 'total_peak_memory_reserved_MB': 30954.0, 'step_tokens_per_second': 16294.39, 'avg_tokens_per_second': 18977.11}
{'loss': 1.1374, 'grad_norm': 3.3851170539855957, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.04, 'num_input_tokens_seen': 647168, 'step': 7, 'step_time_sec': 3.76, 'avg_step_time_sec': 4.75, 'time_to_completion_sec': 61.81, 'estimated_total_time_sec': 95.09, 'step_peak_memory_allocated_MB': 19119.6, 'step_peak_memory_reserved_MB': 30954.0, 'total_peak_memory_allocated_MB': 22349.44, 'total_peak_memory_reserved_MB': 30954.0, 'step_tokens_per_second': 22057.0, 'avg_tokens_per_second': 19383.09}
{'loss': 1.0467, 'grad_norm': 1.997455358505249, 'learning_rate': 4.5e-06, 'epoch': 0.04, 'num_input_tokens_seen': 736256, 'step': 8, 'step_time_sec': 4.38, 'avg_step_time_sec': 4.7, 'time_to_completion_sec': 56.41, 'estimated_total_time_sec': 94.01, 'step_peak_memory_allocated_MB': 21756.94, 'step_peak_memory_reserved_MB': 30954.0, 'total_peak_memory_allocated_MB': 22349.44, 'total_peak_memory_reserved_MB': 30954.0, 'step_tokens_per_second': 20356.32, 'avg_tokens_per_second': 19512.53}
{'loss': 1.0932, 'grad_norm': 1.6891447305679321, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.05, 'num_input_tokens_seen': 844800, 'step': 9, 'step_time_sec': 5.81, 'avg_step_time_sec': 4.84, 'time_to_completion_sec': 53.23, 'estimated_total_time_sec': 96.78, 'step_peak_memory_allocated_MB': 18621.4, 'step_peak_memory_reserved_MB': 30954.0, 'total_peak_memory_allocated_MB': 22349.44, 'total_peak_memory_reserved_MB': 30954.0, 'step_tokens_per_second': 18696.15, 'avg_tokens_per_second': 19390.09}
{'loss': 1.1137, 'grad_norm': 1.640662670135498, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.05, 'num_input_tokens_seen': 942080, 'step': 10, 'step_time_sec': 5.79, 'avg_step_time_sec': 4.94, 'time_to_completion_sec': 49.44, 'estimated_total_time_sec': 98.88, 'step_peak_memory_allocated_MB': 25557.89, 'step_peak_memory_reserved_MB': 37682.0, 'total_peak_memory_allocated_MB': 25557.89, 'total_peak_memory_reserved_MB': 37682.0, 'step_tokens_per_second': 16814.76, 'avg_tokens_per_second': 19055.24}
{'loss': 1.07, 'grad_norm': 1.4633985757827759, 'learning_rate': 3e-06, 'epoch': 0.06, 'num_input_tokens_seen': 1028096, 'step': 11, 'step_time_sec': 4.19, 'avg_step_time_sec': 4.87, 'time_to_completion_sec': 43.81, 'estimated_total_time_sec': 97.36, 'step_peak_memory_allocated_MB': 22349.44, 'step_peak_memory_reserved_MB': 37682.0, 'total_peak_memory_allocated_MB': 25557.89, 'total_peak_memory_reserved_MB': 37682.0, 'step_tokens_per_second': 20547.31, 'avg_tokens_per_second': 19183.55}
{'loss': 1.0129, 'grad_norm': 1.2870522737503052, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1116160, 'step': 12, 'step_time_sec': 3.82, 'avg_step_time_sec': 4.77, 'time_to_completion_sec': 38.18, 'estimated_total_time_sec': 95.45, 'step_peak_memory_allocated_MB': 21179.34, 'step_peak_memory_reserved_MB': 37682.0, 'total_peak_memory_allocated_MB': 25557.89, 'total_peak_memory_reserved_MB': 37682.0, 'step_tokens_per_second': 23072.48, 'avg_tokens_per_second': 19466.29}
{'loss': 1.0412, 'grad_norm': 1.153725504875183, 'learning_rate': 1.973939570022994e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1228800, 'step': 13, 'step_time_sec': 5.81, 'avg_step_time_sec': 4.86, 'time_to_completion_sec': 34.01, 'estimated_total_time_sec': 97.18, 'step_peak_memory_allocated_MB': 23584.63, 'step_peak_memory_reserved_MB': 37682.0, 'total_peak_memory_allocated_MB': 25557.89, 'total_peak_memory_reserved_MB': 37682.0, 'step_tokens_per_second': 19380.76, 'avg_tokens_per_second': 19457.76}
