{'loss': 1.4371, 'grad_norm': 12.94901180267334, 'learning_rate': 3e-06, 'epoch': 0.01, 'num_input_tokens_seen': 105472}
{'loss': 1.4036, 'grad_norm': 12.642655372619629, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 195584, 'step': 2, 'step_time_sec': 5.15, 'avg_step_time_sec': 5.15, 'time_to_completion_sec': 92.62, 'estimated_total_time_sec': 102.91, 'step_peak_memory_allocated_MB': 20617.38, 'step_peak_memory_reserved_MB': 31946.0, 'total_peak_memory_allocated_MB': 20617.38, 'total_peak_memory_reserved_MB': 31946.0, 'step_tokens_per_second': 17513.4, 'avg_tokens_per_second': 17513.4}
{'loss': 1.3704, 'grad_norm': 11.302399635314941, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.02, 'num_input_tokens_seen': 286720, 'step': 3, 'step_time_sec': 4.73, 'avg_step_time_sec': 4.94, 'time_to_completion_sec': 83.96, 'estimated_total_time_sec': 98.77, 'step_peak_memory_allocated_MB': 21179.06, 'step_peak_memory_reserved_MB': 31946.0, 'total_peak_memory_allocated_MB': 21179.06, 'total_peak_memory_reserved_MB': 31946.0, 'step_tokens_per_second': 19259.92, 'avg_tokens_per_second': 18350.11}
{'loss': 1.3186, 'grad_norm': 7.44651985168457, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 395264, 'step': 4, 'step_time_sec': 5.8, 'avg_step_time_sec': 5.23, 'time_to_completion_sec': 83.62, 'estimated_total_time_sec': 104.53, 'step_peak_memory_allocated_MB': 21179.06, 'step_peak_memory_reserved_MB': 32378.0, 'total_peak_memory_allocated_MB': 21179.06, 'total_peak_memory_reserved_MB': 32378.0, 'step_tokens_per_second': 18708.99, 'avg_tokens_per_second': 18482.91}
{'loss': 1.3338, 'grad_norm': 6.81984281539917, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.03, 'num_input_tokens_seen': 493568, 'step': 5, 'step_time_sec': 5.78, 'avg_step_time_sec': 5.37, 'time_to_completion_sec': 80.48, 'estimated_total_time_sec': 107.31, 'step_peak_memory_allocated_MB': 20617.38, 'step_peak_memory_reserved_MB': 32378.0, 'total_peak_memory_allocated_MB': 21179.06, 'total_peak_memory_reserved_MB': 32378.0, 'step_tokens_per_second': 16999.67, 'avg_tokens_per_second': 18083.26}
{'loss': 1.1353, 'grad_norm': 3.698810338973999, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.03, 'num_input_tokens_seen': 620544, 'step': 6, 'step_time_sec': 5.83, 'avg_step_time_sec': 5.46, 'time_to_completion_sec': 76.43, 'estimated_total_time_sec': 109.18, 'step_peak_memory_allocated_MB': 27675.47, 'step_peak_memory_reserved_MB': 38522.0, 'total_peak_memory_allocated_MB': 27675.47, 'total_peak_memory_reserved_MB': 38522.0, 'step_tokens_per_second': 21765.07, 'avg_tokens_per_second': 18870.18}
{'loss': 1.148, 'grad_norm': 3.3688571453094482, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.04, 'num_input_tokens_seen': 724992, 'step': 7, 'step_time_sec': 5.19, 'avg_step_time_sec': 5.41, 'time_to_completion_sec': 70.39, 'estimated_total_time_sec': 108.29, 'step_peak_memory_allocated_MB': 25557.65, 'step_peak_memory_reserved_MB': 38522.0, 'total_peak_memory_allocated_MB': 27675.47, 'total_peak_memory_reserved_MB': 38522.0, 'step_tokens_per_second': 20114.11, 'avg_tokens_per_second': 19069.0}
{'loss': 1.0723, 'grad_norm': 2.5140202045440674, 'learning_rate': 4.5e-06, 'epoch': 0.04, 'num_input_tokens_seen': 837632, 'step': 8, 'step_time_sec': 5.78, 'avg_step_time_sec': 5.47, 'time_to_completion_sec': 65.6, 'estimated_total_time_sec': 109.34, 'step_peak_memory_allocated_MB': 25557.65, 'step_peak_memory_reserved_MB': 38522.0, 'total_peak_memory_allocated_MB': 27675.47, 'total_peak_memory_reserved_MB': 38522.0, 'step_tokens_per_second': 19486.42, 'avg_tokens_per_second': 19132.05}
{'loss': 1.0799, 'grad_norm': 1.8385440111160278, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.05, 'num_input_tokens_seen': 928768, 'step': 9, 'step_time_sec': 4.72, 'avg_step_time_sec': 5.37, 'time_to_completion_sec': 59.11, 'estimated_total_time_sec': 107.47, 'step_peak_memory_allocated_MB': 19551.38, 'step_peak_memory_reserved_MB': 38522.0, 'total_peak_memory_allocated_MB': 27675.47, 'total_peak_memory_reserved_MB': 38522.0, 'step_tokens_per_second': 19314.49, 'avg_tokens_per_second': 19152.08}
{'loss': 1.0996, 'grad_norm': 1.6759130954742432, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.05, 'num_input_tokens_seen': 1028096, 'step': 10, 'step_time_sec': 5.79, 'avg_step_time_sec': 5.42, 'time_to_completion_sec': 54.2, 'estimated_total_time_sec': 108.4, 'step_peak_memory_allocated_MB': 19119.36, 'step_peak_memory_reserved_MB': 38522.0, 'total_peak_memory_allocated_MB': 27675.47, 'total_peak_memory_reserved_MB': 38522.0, 'step_tokens_per_second': 17144.84, 'avg_tokens_per_second': 18913.69}
{'loss': 1.0322, 'grad_norm': 1.5213450193405151, 'learning_rate': 3e-06, 'epoch': 0.06, 'num_input_tokens_seen': 1115136, 'step': 11, 'step_time_sec': 4.19, 'avg_step_time_sec': 5.3, 'time_to_completion_sec': 47.67, 'estimated_total_time_sec': 105.94, 'step_peak_memory_allocated_MB': 22349.2, 'step_peak_memory_reserved_MB': 38522.0, 'total_peak_memory_allocated_MB': 27675.47, 'total_peak_memory_reserved_MB': 38522.0, 'step_tokens_per_second': 20785.55, 'avg_tokens_per_second': 19061.67}
{'loss': 1.0359, 'grad_norm': 1.2418949604034424, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1217536, 'step': 12, 'step_time_sec': 5.78, 'avg_step_time_sec': 5.34, 'time_to_completion_sec': 42.72, 'estimated_total_time_sec': 106.81, 'step_peak_memory_allocated_MB': 22349.2, 'step_peak_memory_reserved_MB': 38522.0, 'total_peak_memory_allocated_MB': 27675.47, 'total_peak_memory_reserved_MB': 38522.0, 'step_tokens_per_second': 17720.95, 'avg_tokens_per_second': 18929.79}
