{'loss': 1.3832, 'grad_norm': 12.500650405883789, 'learning_rate': 3e-06, 'epoch': 0.01, 'num_input_tokens_seen': 100352}
{'loss': 1.4744, 'grad_norm': 13.029190063476562, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 189440, 'step': 2, 'step_time_sec': 4.54, 'avg_step_time_sec': 4.54, 'time_to_completion_sec': 81.74, 'estimated_total_time_sec': 90.82, 'step_peak_memory_allocated_MB': 20071.81, 'step_peak_memory_reserved_MB': 30412.0, 'total_peak_memory_allocated_MB': 20071.81, 'total_peak_memory_reserved_MB': 30412.0, 'step_tokens_per_second': 19618.51, 'avg_tokens_per_second': 19618.51}
{'loss': 1.4051, 'grad_norm': 12.453237533569336, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.02, 'num_input_tokens_seen': 269312, 'step': 3, 'step_time_sec': 3.57, 'avg_step_time_sec': 4.06, 'time_to_completion_sec': 68.95, 'estimated_total_time_sec': 81.12, 'step_peak_memory_allocated_MB': 20071.81, 'step_peak_memory_reserved_MB': 30468.0, 'total_peak_memory_allocated_MB': 20071.81, 'total_peak_memory_reserved_MB': 30468.0, 'step_tokens_per_second': 22366.73, 'avg_tokens_per_second': 20828.31}
{'loss': 1.2937, 'grad_norm': 7.860968589782715, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 348160, 'step': 4, 'step_time_sec': 3.6, 'avg_step_time_sec': 3.91, 'time_to_completion_sec': 62.49, 'estimated_total_time_sec': 78.11, 'step_peak_memory_allocated_MB': 20617.24, 'step_peak_memory_reserved_MB': 30468.0, 'total_peak_memory_allocated_MB': 20617.24, 'total_peak_memory_reserved_MB': 30468.0, 'step_tokens_per_second': 21876.93, 'avg_tokens_per_second': 21150.89}
{'loss': 1.255, 'grad_norm': 6.575197696685791, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.03, 'num_input_tokens_seen': 449536, 'step': 5, 'step_time_sec': 5.78, 'avg_step_time_sec': 4.38, 'time_to_completion_sec': 65.63, 'estimated_total_time_sec': 87.5, 'step_peak_memory_allocated_MB': 18867.47, 'step_peak_memory_reserved_MB': 30844.0, 'total_peak_memory_allocated_MB': 20617.24, 'total_peak_memory_reserved_MB': 30844.0, 'step_tokens_per_second': 17525.0, 'avg_tokens_per_second': 19952.4}
{'loss': 1.2082, 'grad_norm': 3.6252262592315674, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.03, 'num_input_tokens_seen': 563200, 'step': 6, 'step_time_sec': 5.83, 'avg_step_time_sec': 4.67, 'time_to_completion_sec': 65.32, 'estimated_total_time_sec': 93.31, 'step_peak_memory_allocated_MB': 27675.71, 'step_peak_memory_reserved_MB': 39036.0, 'total_peak_memory_allocated_MB': 27675.71, 'total_peak_memory_reserved_MB': 39036.0, 'step_tokens_per_second': 19506.34, 'avg_tokens_per_second': 19840.98}
{'loss': 1.1203, 'grad_norm': 3.2978310585021973, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.04, 'num_input_tokens_seen': 658432, 'step': 7, 'step_time_sec': 4.37, 'avg_step_time_sec': 4.62, 'time_to_completion_sec': 60.01, 'estimated_total_time_sec': 92.32, 'step_peak_memory_allocated_MB': 20617.24, 'step_peak_memory_reserved_MB': 39036.0, 'total_peak_memory_allocated_MB': 27675.71, 'total_peak_memory_reserved_MB': 39036.0, 'step_tokens_per_second': 21797.11, 'avg_tokens_per_second': 20149.55}
{'loss': 1.077, 'grad_norm': 1.8608801364898682, 'learning_rate': 4.5e-06, 'epoch': 0.04, 'num_input_tokens_seen': 751616, 'step': 8, 'step_time_sec': 5.16, 'avg_step_time_sec': 4.69, 'time_to_completion_sec': 56.33, 'estimated_total_time_sec': 93.88, 'step_peak_memory_allocated_MB': 20071.81, 'step_peak_memory_reserved_MB': 39036.0, 'total_peak_memory_allocated_MB': 27675.71, 'total_peak_memory_reserved_MB': 39036.0, 'step_tokens_per_second': 18059.76, 'avg_tokens_per_second': 19821.37}
{'loss': 1.1266, 'grad_norm': 1.7271357774734497, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.05, 'num_input_tokens_seen': 832512, 'step': 9, 'step_time_sec': 3.96, 'avg_step_time_sec': 4.6, 'time_to_completion_sec': 50.63, 'estimated_total_time_sec': 92.05, 'step_peak_memory_allocated_MB': 18621.4, 'step_peak_memory_reserved_MB': 39036.0, 'total_peak_memory_allocated_MB': 27675.71, 'total_peak_memory_reserved_MB': 39036.0, 'step_tokens_per_second': 20406.1, 'avg_tokens_per_second': 19884.33}
{'loss': 1.0451, 'grad_norm': 1.5669629573822021, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.05, 'num_input_tokens_seen': 924672, 'step': 10, 'step_time_sec': 4.41, 'avg_step_time_sec': 4.58, 'time_to_completion_sec': 45.81, 'estimated_total_time_sec': 91.62, 'step_peak_memory_allocated_MB': 22959.48, 'step_peak_memory_reserved_MB': 39036.0, 'total_peak_memory_allocated_MB': 27675.71, 'total_peak_memory_reserved_MB': 39036.0, 'step_tokens_per_second': 20902.3, 'avg_tokens_per_second': 19993.19}
{'loss': 1.0719, 'grad_norm': 1.4611977338790894, 'learning_rate': 3e-06, 'epoch': 0.06, 'num_input_tokens_seen': 1010688, 'step': 11, 'step_time_sec': 4.74, 'avg_step_time_sec': 4.6, 'time_to_completion_sec': 41.38, 'estimated_total_time_sec': 91.95, 'step_peak_memory_allocated_MB': 20617.24, 'step_peak_memory_reserved_MB': 39036.0, 'total_peak_memory_allocated_MB': 27675.71, 'total_peak_memory_reserved_MB': 39036.0, 'step_tokens_per_second': 18132.8, 'avg_tokens_per_second': 19801.23}
{'loss': 1.0515, 'grad_norm': 1.414978265762329, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1110016, 'step': 12, 'step_time_sec': 5.79, 'avg_step_time_sec': 4.71, 'time_to_completion_sec': 37.65, 'estimated_total_time_sec': 94.12, 'step_peak_memory_allocated_MB': 24884.08, 'step_peak_memory_reserved_MB': 39036.0, 'total_peak_memory_allocated_MB': 27675.71, 'total_peak_memory_reserved_MB': 39036.0, 'step_tokens_per_second': 17156.42, 'avg_tokens_per_second': 19505.42}
