{'loss': 1.4005, 'grad_norm': 12.963363647460938, 'learning_rate': 3e-06, 'epoch': 0.01, 'num_input_tokens_seen': 96256}
{'loss': 1.3911, 'grad_norm': 11.752787590026855, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 205824, 'step': 2, 'step_time_sec': 5.78, 'avg_step_time_sec': 5.78, 'time_to_completion_sec': 103.99, 'estimated_total_time_sec': 115.54, 'step_peak_memory_allocated_MB': 23585.48, 'step_peak_memory_reserved_MB': 32832.0, 'total_peak_memory_allocated_MB': 23585.48, 'total_peak_memory_reserved_MB': 32832.0, 'step_tokens_per_second': 18966.35, 'avg_tokens_per_second': 18966.35}
{'loss': 1.3622, 'grad_norm': 12.306841850280762, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.02, 'num_input_tokens_seen': 306176, 'step': 3, 'step_time_sec': 5.78, 'avg_step_time_sec': 5.78, 'time_to_completion_sec': 98.28, 'estimated_total_time_sec': 115.62, 'step_peak_memory_allocated_MB': 27675.69, 'step_peak_memory_reserved_MB': 41024.0, 'total_peak_memory_allocated_MB': 27675.69, 'total_peak_memory_reserved_MB': 41024.0, 'step_tokens_per_second': 17346.93, 'avg_tokens_per_second': 18156.08}
{'loss': 1.2615, 'grad_norm': 7.656789302825928, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.02, 'num_input_tokens_seen': 377856, 'step': 4, 'step_time_sec': 3.36, 'avg_step_time_sec': 4.98, 'time_to_completion_sec': 79.6, 'estimated_total_time_sec': 99.5, 'step_peak_memory_allocated_MB': 18621.38, 'step_peak_memory_reserved_MB': 41024.0, 'total_peak_memory_allocated_MB': 27675.69, 'total_peak_memory_reserved_MB': 41024.0, 'step_tokens_per_second': 21313.5, 'avg_tokens_per_second': 18867.55}
{'loss': 1.2439, 'grad_norm': 6.788381576538086, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.03, 'num_input_tokens_seen': 473088, 'step': 5, 'step_time_sec': 5.8, 'avg_step_time_sec': 5.18, 'time_to_completion_sec': 77.7, 'estimated_total_time_sec': 103.6, 'step_peak_memory_allocated_MB': 27675.69, 'step_peak_memory_reserved_MB': 41024.0, 'total_peak_memory_allocated_MB': 27675.69, 'total_peak_memory_reserved_MB': 41024.0, 'step_tokens_per_second': 16432.35, 'avg_tokens_per_second': 18186.44}
{'loss': 1.137, 'grad_norm': 3.6333417892456055, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.03, 'num_input_tokens_seen': 551936, 'step': 6, 'step_time_sec': 3.57, 'avg_step_time_sec': 4.86, 'time_to_completion_sec': 68.02, 'estimated_total_time_sec': 97.18, 'step_peak_memory_allocated_MB': 18867.45, 'step_peak_memory_reserved_MB': 41024.0, 'total_peak_memory_allocated_MB': 27675.69, 'total_peak_memory_reserved_MB': 41024.0, 'step_tokens_per_second': 22062.37, 'avg_tokens_per_second': 18756.62}
{'loss': 1.139, 'grad_norm': 3.410874843597412, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.04, 'num_input_tokens_seen': 630784, 'step': 7, 'step_time_sec': 3.76, 'avg_step_time_sec': 4.68, 'time_to_completion_sec': 60.79, 'estimated_total_time_sec': 93.52, 'step_peak_memory_allocated_MB': 20617.19, 'step_peak_memory_reserved_MB': 41024.0, 'total_peak_memory_allocated_MB': 27675.69, 'total_peak_memory_reserved_MB': 41024.0, 'step_tokens_per_second': 20957.42, 'avg_tokens_per_second': 19051.74}
{'loss': 1.0386, 'grad_norm': 1.9647245407104492, 'learning_rate': 4.5e-06, 'epoch': 0.04, 'num_input_tokens_seen': 721920, 'step': 8, 'step_time_sec': 5.78, 'avg_step_time_sec': 4.83, 'time_to_completion_sec': 58.01, 'estimated_total_time_sec': 96.68, 'step_peak_memory_allocated_MB': 19552.32, 'step_peak_memory_reserved_MB': 41024.0, 'total_peak_memory_allocated_MB': 27675.69, 'total_peak_memory_reserved_MB': 41024.0, 'step_tokens_per_second': 15762.94, 'avg_tokens_per_second': 18489.81}
{'loss': 1.0997, 'grad_norm': 1.8753888607025146, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.05, 'num_input_tokens_seen': 838656, 'step': 9, 'step_time_sec': 5.79, 'avg_step_time_sec': 4.95, 'time_to_completion_sec': 54.48, 'estimated_total_time_sec': 99.06, 'step_peak_memory_allocated_MB': 26247.74, 'step_peak_memory_reserved_MB': 41024.0, 'total_peak_memory_allocated_MB': 27675.69, 'total_peak_memory_reserved_MB': 41024.0, 'step_tokens_per_second': 20175.01, 'avg_tokens_per_second': 18735.89}
{'loss': 1.0439, 'grad_norm': 1.5900081396102905, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.05, 'num_input_tokens_seen': 936960, 'step': 10, 'step_time_sec': 5.78, 'avg_step_time_sec': 5.05, 'time_to_completion_sec': 50.45, 'estimated_total_time_sec': 100.91, 'step_peak_memory_allocated_MB': 21755.92, 'step_peak_memory_reserved_MB': 41024.0, 'total_peak_memory_allocated_MB': 27675.69, 'total_peak_memory_reserved_MB': 41024.0, 'step_tokens_per_second': 16995.42, 'avg_tokens_per_second': 18514.19}
{'loss': 1.0353, 'grad_norm': 1.5408787727355957, 'learning_rate': 3e-06, 'epoch': 0.06, 'num_input_tokens_seen': 1040384, 'step': 11, 'step_time_sec': 5.79, 'avg_step_time_sec': 5.12, 'time_to_completion_sec': 46.08, 'estimated_total_time_sec': 102.4, 'step_peak_memory_allocated_MB': 24884.05, 'step_peak_memory_reserved_MB': 41024.0, 'total_peak_memory_allocated_MB': 27675.69, 'total_peak_memory_reserved_MB': 41024.0, 'step_tokens_per_second': 17856.37, 'avg_tokens_per_second': 18439.77}
{'loss': 1.0685, 'grad_norm': 1.272984504699707, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1139712, 'step': 12, 'step_time_sec': 5.79, 'avg_step_time_sec': 5.18, 'time_to_completion_sec': 41.44, 'estimated_total_time_sec': 103.61, 'step_peak_memory_allocated_MB': 21179.32, 'step_peak_memory_reserved_MB': 41024.0, 'total_peak_memory_allocated_MB': 27675.69, 'total_peak_memory_reserved_MB': 41024.0, 'step_tokens_per_second': 17169.6, 'avg_tokens_per_second': 18310.83}
