{'loss': 1.2841, 'grad_norm': 11.72882080078125, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 21504}
{'loss': 1.3835, 'grad_norm': 14.663826942443848, 'learning_rate': 6e-06, 'epoch': 0.0, 'num_input_tokens_seen': 35584, 'step': 2, 'step_time_sec': 0.91, 'avg_step_time_sec': 0.91, 'time_to_completion_sec': 16.38, 'estimated_total_time_sec': 18.21, 'step_peak_memory_allocated_MB': 18237.16, 'step_peak_memory_reserved_MB': 22114.0, 'total_peak_memory_allocated_MB': 18237.16, 'total_peak_memory_reserved_MB': 22114.0, 'step_tokens_per_second': 15468.11, 'avg_tokens_per_second': 15468.11}
{'loss': 1.4892, 'grad_norm': 13.49749755859375, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.0, 'num_input_tokens_seen': 51968, 'step': 3, 'step_time_sec': 0.95, 'avg_step_time_sec': 0.93, 'time_to_completion_sec': 15.81, 'estimated_total_time_sec': 18.6, 'step_peak_memory_allocated_MB': 18237.17, 'step_peak_memory_reserved_MB': 22756.0, 'total_peak_memory_allocated_MB': 18237.17, 'total_peak_memory_reserved_MB': 22756.0, 'step_tokens_per_second': 17253.47, 'avg_tokens_per_second': 16379.67}
{'loss': 1.2703, 'grad_norm': 8.407856941223145, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.01, 'num_input_tokens_seen': 69632, 'step': 4, 'step_time_sec': 1.15, 'avg_step_time_sec': 1.0, 'time_to_completion_sec': 16.03, 'estimated_total_time_sec': 20.04, 'step_peak_memory_allocated_MB': 18237.18, 'step_peak_memory_reserved_MB': 23140.0, 'total_peak_memory_allocated_MB': 18237.18, 'total_peak_memory_reserved_MB': 23140.0, 'step_tokens_per_second': 15409.45, 'avg_tokens_per_second': 16009.71}
{'loss': 1.3797, 'grad_norm': 6.9980645179748535, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.01, 'num_input_tokens_seen': 89344, 'step': 5, 'step_time_sec': 1.0, 'avg_step_time_sec': 1.0, 'time_to_completion_sec': 15.04, 'estimated_total_time_sec': 20.05, 'step_peak_memory_allocated_MB': 18237.2, 'step_peak_memory_reserved_MB': 23940.0, 'total_peak_memory_allocated_MB': 18237.2, 'total_peak_memory_reserved_MB': 23940.0, 'step_tokens_per_second': 19632.91, 'avg_tokens_per_second': 16916.84}
{'loss': 1.1721, 'grad_norm': 5.208675861358643, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.01, 'num_input_tokens_seen': 103680, 'step': 6, 'step_time_sec': 0.77, 'avg_step_time_sec': 0.96, 'time_to_completion_sec': 13.37, 'estimated_total_time_sec': 19.1, 'step_peak_memory_allocated_MB': 18237.17, 'step_peak_memory_reserved_MB': 23940.0, 'total_peak_memory_allocated_MB': 18237.2, 'total_peak_memory_reserved_MB': 23940.0, 'step_tokens_per_second': 18722.17, 'avg_tokens_per_second': 17206.29}
{'loss': 1.1329, 'grad_norm': 4.24834680557251, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.01, 'num_input_tokens_seen': 120064, 'step': 7, 'step_time_sec': 1.0, 'avg_step_time_sec': 0.96, 'time_to_completion_sec': 12.51, 'estimated_total_time_sec': 19.24, 'step_peak_memory_allocated_MB': 18237.18, 'step_peak_memory_reserved_MB': 23940.0, 'total_peak_memory_allocated_MB': 18237.2, 'total_peak_memory_reserved_MB': 23940.0, 'step_tokens_per_second': 16432.72, 'avg_tokens_per_second': 17072.69}
{'loss': 1.0984, 'grad_norm': 3.068338394165039, 'learning_rate': 4.5e-06, 'epoch': 0.01, 'num_input_tokens_seen': 138240, 'step': 8, 'step_time_sec': 1.01, 'avg_step_time_sec': 0.97, 'time_to_completion_sec': 11.63, 'estimated_total_time_sec': 19.38, 'step_peak_memory_allocated_MB': 18237.21, 'step_peak_memory_reserved_MB': 24828.0, 'total_peak_memory_allocated_MB': 18237.21, 'total_peak_memory_reserved_MB': 24828.0, 'step_tokens_per_second': 18024.27, 'avg_tokens_per_second': 17214.19}
{'loss': 1.0788, 'grad_norm': 2.4810943603515625, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.01, 'num_input_tokens_seen': 156160, 'step': 9, 'step_time_sec': 1.24, 'avg_step_time_sec': 1.0, 'time_to_completion_sec': 11.03, 'estimated_total_time_sec': 20.06, 'step_peak_memory_allocated_MB': 18237.17, 'step_peak_memory_reserved_MB': 24828.0, 'total_peak_memory_allocated_MB': 18237.21, 'total_peak_memory_reserved_MB': 24828.0, 'step_tokens_per_second': 14427.31, 'avg_tokens_per_second': 16782.76}
{'loss': 0.9832, 'grad_norm': 2.2829513549804688, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.01, 'num_input_tokens_seen': 171520, 'step': 10, 'step_time_sec': 0.96, 'avg_step_time_sec': 1.0, 'time_to_completion_sec': 9.98, 'estimated_total_time_sec': 19.96, 'step_peak_memory_allocated_MB': 18237.2, 'step_peak_memory_reserved_MB': 24828.0, 'total_peak_memory_allocated_MB': 18237.21, 'total_peak_memory_reserved_MB': 24828.0, 'step_tokens_per_second': 16043.16, 'avg_tokens_per_second': 16703.92}
{'loss': 1.128, 'grad_norm': 2.1686503887176514, 'learning_rate': 3e-06, 'epoch': 0.02, 'num_input_tokens_seen': 187136, 'step': 11, 'step_time_sec': 0.91, 'avg_step_time_sec': 0.99, 'time_to_completion_sec': 8.9, 'estimated_total_time_sec': 19.79, 'step_peak_memory_allocated_MB': 18237.17, 'step_peak_memory_reserved_MB': 24828.0, 'total_peak_memory_allocated_MB': 18237.21, 'total_peak_memory_reserved_MB': 24828.0, 'step_tokens_per_second': 17105.25, 'avg_tokens_per_second': 16740.95}
{'loss': 1.0436, 'grad_norm': 2.3527750968933105, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.02, 'num_input_tokens_seen': 202752, 'step': 12, 'step_time_sec': 0.85, 'avg_step_time_sec': 0.98, 'time_to_completion_sec': 7.82, 'estimated_total_time_sec': 19.54, 'step_peak_memory_allocated_MB': 18237.16, 'step_peak_memory_reserved_MB': 24828.0, 'total_peak_memory_allocated_MB': 18237.21, 'total_peak_memory_reserved_MB': 24828.0, 'step_tokens_per_second': 18299.84, 'avg_tokens_per_second': 16864.73}
{'loss': 1.1107, 'grad_norm': 2.095180034637451, 'learning_rate': 1.973939570022994e-06, 'epoch': 0.02, 'num_input_tokens_seen': 220160, 'step': 13, 'step_time_sec': 1.11, 'avg_step_time_sec': 0.99, 'time_to_completion_sec': 6.91, 'estimated_total_time_sec': 19.75, 'step_peak_memory_allocated_MB': 18237.16, 'step_peak_memory_reserved_MB': 24828.0, 'total_peak_memory_allocated_MB': 18237.21, 'total_peak_memory_reserved_MB': 24828.0, 'step_tokens_per_second': 15752.38, 'avg_tokens_per_second': 16761.01}
{'loss': 1.106, 'grad_norm': 1.9872753620147705, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.02, 'num_input_tokens_seen': 238080, 'step': 14, 'step_time_sec': 0.95, 'avg_step_time_sec': 0.98, 'time_to_completion_sec': 5.91, 'estimated_total_time_sec': 19.69, 'step_peak_memory_allocated_MB': 18237.17, 'step_peak_memory_reserved_MB': 24828.0, 'total_peak_memory_allocated_MB': 18237.21, 'total_peak_memory_reserved_MB': 24828.0, 'step_tokens_per_second': 18884.59, 'avg_tokens_per_second': 16918.43}
