{'loss': 1.4293, 'grad_norm': 12.676468849182129, 'learning_rate': 3e-06, 'epoch': 0.01, 'num_input_tokens_seen': 221184}
{'loss': 1.4639, 'grad_norm': 12.428705215454102, 'learning_rate': 6e-06, 'epoch': 0.02, 'num_input_tokens_seen': 446464, 'step': 2, 'step_time_sec': 11.43, 'avg_step_time_sec': 11.43, 'time_to_completion_sec': 205.73, 'estimated_total_time_sec': 228.59, 'step_peak_memory_allocated_MB': 32159.85, 'step_peak_memory_reserved_MB': 44446.0, 'total_peak_memory_allocated_MB': 32159.85, 'total_peak_memory_reserved_MB': 44446.0, 'step_tokens_per_second': 19710.23, 'avg_tokens_per_second': 19710.23}
{'loss': 1.4404, 'grad_norm': 11.74328327178955, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.03, 'num_input_tokens_seen': 645120, 'step': 3, 'step_time_sec': 11.4, 'avg_step_time_sec': 11.41, 'time_to_completion_sec': 194.01, 'estimated_total_time_sec': 228.25, 'step_peak_memory_allocated_MB': 25861.88, 'step_peak_memory_reserved_MB': 44446.0, 'total_peak_memory_allocated_MB': 32159.85, 'total_peak_memory_reserved_MB': 44446.0, 'step_tokens_per_second': 17433.6, 'avg_tokens_per_second': 18573.64}
{'loss': 1.3444, 'grad_norm': 7.664246559143066, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.04, 'num_input_tokens_seen': 864256, 'step': 4, 'step_time_sec': 11.43, 'avg_step_time_sec': 11.42, 'time_to_completion_sec': 182.68, 'estimated_total_time_sec': 228.35, 'step_peak_memory_allocated_MB': 35913.6, 'step_peak_memory_reserved_MB': 56110.0, 'total_peak_memory_allocated_MB': 35913.6, 'total_peak_memory_reserved_MB': 56110.0, 'step_tokens_per_second': 19174.64, 'avg_tokens_per_second': 18774.16}
{'loss': 1.2552, 'grad_norm': 6.53164529800415, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.05, 'num_input_tokens_seen': 1081344, 'step': 5, 'step_time_sec': 11.45, 'avg_step_time_sec': 11.43, 'time_to_completion_sec': 171.38, 'estimated_total_time_sec': 228.5, 'step_peak_memory_allocated_MB': 29817.98, 'step_peak_memory_reserved_MB': 56110.0, 'total_peak_memory_allocated_MB': 35913.6, 'total_peak_memory_reserved_MB': 56110.0, 'step_tokens_per_second': 18963.18, 'avg_tokens_per_second': 18821.51}
{'loss': 1.2106, 'grad_norm': 3.8340206146240234, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.07, 'num_input_tokens_seen': 1302528, 'step': 6, 'step_time_sec': 11.53, 'avg_step_time_sec': 11.45, 'time_to_completion_sec': 160.24, 'estimated_total_time_sec': 228.91, 'step_peak_memory_allocated_MB': 42812.34, 'step_peak_memory_reserved_MB': 72496.0, 'total_peak_memory_allocated_MB': 42812.34, 'total_peak_memory_reserved_MB': 72496.0, 'step_tokens_per_second': 19188.79, 'avg_tokens_per_second': 18895.49}
{'loss': 1.1493, 'grad_norm': 3.122563600540161, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.08, 'num_input_tokens_seen': 1492992, 'step': 7, 'step_time_sec': 8.59, 'avg_step_time_sec': 10.97, 'time_to_completion_sec': 142.6, 'estimated_total_time_sec': 219.38, 'step_peak_memory_allocated_MB': 29817.98, 'step_peak_memory_reserved_MB': 72496.0, 'total_peak_memory_allocated_MB': 42812.34, 'total_peak_memory_reserved_MB': 72496.0, 'step_tokens_per_second': 22180.39, 'avg_tokens_per_second': 19324.08}
{'loss': 1.1353, 'grad_norm': 1.7235921621322632, 'learning_rate': 4.5e-06, 'epoch': 0.09, 'num_input_tokens_seen': 1718272, 'step': 8, 'step_time_sec': 11.53, 'avg_step_time_sec': 11.05, 'time_to_completion_sec': 132.6, 'estimated_total_time_sec': 221.0, 'step_peak_memory_allocated_MB': 42812.34, 'step_peak_memory_reserved_MB': 72496.0, 'total_peak_memory_allocated_MB': 42812.34, 'total_peak_memory_reserved_MB': 72496.0, 'step_tokens_per_second': 19530.17, 'avg_tokens_per_second': 19354.81}
{'loss': 1.1358, 'grad_norm': 1.6003068685531616, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.1, 'num_input_tokens_seen': 1921024, 'step': 9, 'step_time_sec': 9.8, 'avg_step_time_sec': 10.89, 'time_to_completion_sec': 119.84, 'estimated_total_time_sec': 217.88, 'step_peak_memory_allocated_MB': 28695.8, 'step_peak_memory_reserved_MB': 72496.0, 'total_peak_memory_allocated_MB': 42812.34, 'total_peak_memory_reserved_MB': 72496.0, 'step_tokens_per_second': 20680.5, 'avg_tokens_per_second': 19503.94}
{'loss': 1.0919, 'grad_norm': 1.453152060508728, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.11, 'num_input_tokens_seen': 2111488, 'step': 10, 'step_time_sec': 8.99, 'avg_step_time_sec': 10.68, 'time_to_completion_sec': 106.83, 'estimated_total_time_sec': 213.65, 'step_peak_memory_allocated_MB': 32159.85, 'step_peak_memory_reserved_MB': 72496.0, 'total_peak_memory_allocated_MB': 42812.34, 'total_peak_memory_reserved_MB': 72496.0, 'step_tokens_per_second': 21185.9, 'avg_tokens_per_second': 19661.22}
{'loss': 1.054, 'grad_norm': 1.227502465248108, 'learning_rate': 3e-06, 'epoch': 0.12, 'num_input_tokens_seen': 2291712, 'step': 11, 'step_time_sec': 7.84, 'avg_step_time_sec': 10.4, 'time_to_completion_sec': 93.59, 'estimated_total_time_sec': 207.98, 'step_peak_memory_allocated_MB': 30972.98, 'step_peak_memory_reserved_MB': 72496.0, 'total_peak_memory_allocated_MB': 42812.34, 'total_peak_memory_reserved_MB': 72496.0, 'step_tokens_per_second': 22975.73, 'avg_tokens_per_second': 19911.24}
{'loss': 1.0471, 'grad_norm': 0.9855064749717712, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.13, 'num_input_tokens_seen': 2498560, 'step': 12, 'step_time_sec': 11.41, 'avg_step_time_sec': 10.49, 'time_to_completion_sec': 83.93, 'estimated_total_time_sec': 209.82, 'step_peak_memory_allocated_MB': 30972.98, 'step_peak_memory_reserved_MB': 72496.0, 'total_peak_memory_allocated_MB': 42812.34, 'total_peak_memory_reserved_MB': 72496.0, 'step_tokens_per_second': 18123.12, 'avg_tokens_per_second': 19734.39}
