{'loss': 1.412, 'grad_norm': 12.952554702758789, 'learning_rate': 3e-06, 'epoch': 0.0, 'num_input_tokens_seen': 46080}
{'loss': 1.4012, 'grad_norm': 13.12668514251709, 'learning_rate': 6e-06, 'epoch': 0.01, 'num_input_tokens_seen': 82944, 'step': 2, 'step_time_sec': 2.42, 'avg_step_time_sec': 2.42, 'time_to_completion_sec': 43.51, 'estimated_total_time_sec': 48.35, 'step_peak_memory_allocated_MB': 18236.96, 'step_peak_memory_reserved_MB': 22592.0, 'total_peak_memory_allocated_MB': 18236.96, 'total_peak_memory_reserved_MB': 22592.0, 'step_tokens_per_second': 15249.83, 'avg_tokens_per_second': 15249.83}
{'loss': 1.3697, 'grad_norm': 11.727195739746094, 'learning_rate': 5.954423259036625e-06, 'epoch': 0.01, 'num_input_tokens_seen': 129536, 'step': 3, 'step_time_sec': 2.56, 'avg_step_time_sec': 2.49, 'time_to_completion_sec': 42.28, 'estimated_total_time_sec': 49.74, 'step_peak_memory_allocated_MB': 19407.37, 'step_peak_memory_reserved_MB': 29900.0, 'total_peak_memory_allocated_MB': 19407.37, 'total_peak_memory_reserved_MB': 29900.0, 'step_tokens_per_second': 18223.23, 'avg_tokens_per_second': 16778.2}
{'loss': 1.3039, 'grad_norm': 8.363729476928711, 'learning_rate': 5.819077862357725e-06, 'epoch': 0.01, 'num_input_tokens_seen': 163328, 'step': 4, 'step_time_sec': 2.05, 'avg_step_time_sec': 2.34, 'time_to_completion_sec': 37.45, 'estimated_total_time_sec': 46.82, 'step_peak_memory_allocated_MB': 18237.0, 'step_peak_memory_reserved_MB': 29900.0, 'total_peak_memory_allocated_MB': 19407.37, 'total_peak_memory_reserved_MB': 29900.0, 'step_tokens_per_second': 16496.14, 'avg_tokens_per_second': 16695.92}
{'loss': 1.231, 'grad_norm': 6.7464165687561035, 'learning_rate': 5.598076211353317e-06, 'epoch': 0.01, 'num_input_tokens_seen': 201216, 'step': 5, 'step_time_sec': 1.95, 'avg_step_time_sec': 2.24, 'time_to_completion_sec': 33.66, 'estimated_total_time_sec': 44.88, 'step_peak_memory_allocated_MB': 18237.04, 'step_peak_memory_reserved_MB': 29900.0, 'total_peak_memory_allocated_MB': 19407.37, 'total_peak_memory_reserved_MB': 29900.0, 'step_tokens_per_second': 19390.0, 'avg_tokens_per_second': 17282.36}
{'loss': 1.0846, 'grad_norm': 3.711637020111084, 'learning_rate': 5.298133329356934e-06, 'epoch': 0.02, 'num_input_tokens_seen': 253952, 'step': 6, 'step_time_sec': 2.98, 'avg_step_time_sec': 2.39, 'time_to_completion_sec': 33.47, 'estimated_total_time_sec': 47.82, 'step_peak_memory_allocated_MB': 20455.2, 'step_peak_memory_reserved_MB': 34052.0, 'total_peak_memory_allocated_MB': 20455.2, 'total_peak_memory_reserved_MB': 34052.0, 'step_tokens_per_second': 17712.41, 'avg_tokens_per_second': 17389.47}
{'loss': 1.0932, 'grad_norm': 3.641908884048462, 'learning_rate': 4.928362829059618e-06, 'epoch': 0.02, 'num_input_tokens_seen': 301568, 'step': 7, 'step_time_sec': 2.97, 'avg_step_time_sec': 2.49, 'time_to_completion_sec': 32.33, 'estimated_total_time_sec': 49.73, 'step_peak_memory_allocated_MB': 18237.0, 'step_peak_memory_reserved_MB': 34052.0, 'total_peak_memory_allocated_MB': 20455.2, 'total_peak_memory_reserved_MB': 34052.0, 'step_tokens_per_second': 16051.15, 'avg_tokens_per_second': 17123.39}
{'loss': 1.0536, 'grad_norm': 2.2921981811523438, 'learning_rate': 4.5e-06, 'epoch': 0.02, 'num_input_tokens_seen': 351232, 'step': 8, 'step_time_sec': 2.44, 'avg_step_time_sec': 2.48, 'time_to_completion_sec': 29.76, 'estimated_total_time_sec': 49.6, 'step_peak_memory_allocated_MB': 19167.1, 'step_peak_memory_reserved_MB': 34052.0, 'total_peak_memory_allocated_MB': 20455.2, 'total_peak_memory_reserved_MB': 34052.0, 'step_tokens_per_second': 20349.42, 'avg_tokens_per_second': 17576.89}
{'loss': 1.0617, 'grad_norm': 1.993959903717041, 'learning_rate': 4.0260604299770066e-06, 'epoch': 0.02, 'num_input_tokens_seen': 392192, 'step': 9, 'step_time_sec': 2.97, 'avg_step_time_sec': 2.54, 'time_to_completion_sec': 27.96, 'estimated_total_time_sec': 50.83, 'step_peak_memory_allocated_MB': 18237.01, 'step_peak_memory_reserved_MB': 34052.0, 'total_peak_memory_allocated_MB': 20455.2, 'total_peak_memory_reserved_MB': 34052.0, 'step_tokens_per_second': 13780.17, 'avg_tokens_per_second': 17021.88}
{'loss': 1.0448, 'grad_norm': 2.005793571472168, 'learning_rate': 3.5209445330007917e-06, 'epoch': 0.03, 'num_input_tokens_seen': 427008, 'step': 10, 'step_time_sec': 1.86, 'avg_step_time_sec': 2.47, 'time_to_completion_sec': 24.66, 'estimated_total_time_sec': 49.31, 'step_peak_memory_allocated_MB': 18237.03, 'step_peak_memory_reserved_MB': 34052.0, 'total_peak_memory_allocated_MB': 20455.2, 'total_peak_memory_reserved_MB': 34052.0, 'step_tokens_per_second': 18739.2, 'avg_tokens_per_second': 17165.66}
{'loss': 1.0212, 'grad_norm': 1.5428235530853271, 'learning_rate': 3e-06, 'epoch': 0.03, 'num_input_tokens_seen': 469504, 'step': 11, 'step_time_sec': 2.27, 'avg_step_time_sec': 2.45, 'time_to_completion_sec': 22.01, 'estimated_total_time_sec': 48.92, 'step_peak_memory_allocated_MB': 18237.08, 'step_peak_memory_reserved_MB': 34052.0, 'total_peak_memory_allocated_MB': 20455.2, 'total_peak_memory_reserved_MB': 34052.0, 'step_tokens_per_second': 18733.03, 'avg_tokens_per_second': 17311.02}
{'loss': 1.0944, 'grad_norm': 1.6845368146896362, 'learning_rate': 2.4790554669992093e-06, 'epoch': 0.03, 'num_input_tokens_seen': 504832, 'step': 12, 'step_time_sec': 1.77, 'avg_step_time_sec': 2.38, 'time_to_completion_sec': 19.08, 'estimated_total_time_sec': 47.69, 'step_peak_memory_allocated_MB': 18237.0, 'step_peak_memory_reserved_MB': 34052.0, 'total_peak_memory_allocated_MB': 20455.2, 'total_peak_memory_reserved_MB': 34052.0, 'step_tokens_per_second': 19936.17, 'avg_tokens_per_second': 17488.36}
{'loss': 1.0823, 'grad_norm': 1.5921387672424316, 'learning_rate': 1.973939570022994e-06, 'epoch': 0.04, 'num_input_tokens_seen': 559104, 'step': 13, 'step_time_sec': 2.98, 'avg_step_time_sec': 2.43, 'time_to_completion_sec': 17.04, 'estimated_total_time_sec': 48.69, 'step_peak_memory_allocated_MB': 18237.06, 'step_peak_memory_reserved_MB': 34052.0, 'total_peak_memory_allocated_MB': 20455.2, 'total_peak_memory_reserved_MB': 34052.0, 'step_tokens_per_second': 18206.26, 'avg_tokens_per_second': 17561.62}
{'loss': 1.0519, 'grad_norm': 1.5120172500610352, 'learning_rate': 1.5000000000000007e-06, 'epoch': 0.04, 'num_input_tokens_seen': 595968, 'step': 14, 'step_time_sec': 1.96, 'avg_step_time_sec': 2.4, 'time_to_completion_sec': 14.39, 'estimated_total_time_sec': 47.95, 'step_peak_memory_allocated_MB': 18237.01, 'step_peak_memory_reserved_MB': 34052.0, 'total_peak_memory_allocated_MB': 20455.2, 'total_peak_memory_reserved_MB': 34052.0, 'step_tokens_per_second': 18828.26, 'avg_tokens_per_second': 17641.18}
